tokenID,name,description,file_name,external_url,attributes[Palette],attributes[Scale],attributes[Style],attributes[Half],attributes[Pair],attributes[Twin],attributes[Seed]
74,Simmetria #074,"Simmetria, Edition half of pair 074 of 250. Piero — measure first, then light. Mixed scale, mixed-style, rendered deterministically from seed k6087fp1. Its Twin is Controluce: free to claim for whoever holds this piece.",filament_1777667235966_0138_k6087fp1_Piero_mixed.webp,https://unrealfilament.art/edition/#074,Piero,Mixed,Mixed-style,Edition,74,Controluce,k6087fp1
75,Collina #075,"Collina, Edition half of pair 075 of 250. Marche — hills running straight into the Adriatic. Jumbo scale, beads, rendered deterministically from seed qop0f6kz. Its Twin is Scogliera: free to claim for whoever holds this piece.",filament_1777569319074_0005_qop0f6kz_Marche_jumbo.webp,https://unrealfilament.art/edition/#075,Marche,Jumbo,Beads,Edition,75,Scogliera,qop0f6kz
76,Podere #076,"Podere, Edition half of pair 076 of 250. Marche — hills running straight into the Adriatic. Jumbo scale, beads, rendered deterministically from seed avxv9a62. Its Twin is Battigia: free to claim for whoever holds this piece.",filament_1777569530054_0001_avxv9a62_Marche_jumbo.webp,https://unrealfilament.art/edition/#076,Marche,Jumbo,Beads,Edition,76,Battigia,avxv9a62
77,Filare #077,"Filare, Edition half of pair 077 of 250. Marche — hills running straight into the Adriatic. Micro scale, mixed-style, rendered deterministically from seed nkn8iaa3. Its Twin is Molo: free to claim for whoever holds this piece.",filament_1777570148645_0093_nkn8iaa3_Marche_micro.webp,https://unrealfilament.art/edition/#077,Marche,Micro,Mixed-style,Edition,77,Molo,nkn8iaa3
78,Grano #078,"Grano, Edition half of pair 078 of 250. Marche — hills running straight into the Adriatic. Small scale, beads, rendered deterministically from seed qeu6og1d. Its Twin is Sale: free to claim for whoever holds this piece.",filament_1777570274142_0054_qeu6og1d_Marche_small.webp,https://unrealfilament.art/edition/#078,Marche,Small,Beads,Edition,78,Sale,qeu6og1d
79,Aia #079,"Aia, Edition half of pair 079 of 250. Marche — hills running straight into the Adriatic. Mixed scale, beads, rendered deterministically from seed c1d3uupv. Its Twin is Duna: free to claim for whoever holds this piece.",filament_1777666622737_0018_c1d3uupv_Marche_mixed.webp,https://unrealfilament.art/edition/#079,Marche,Mixed,Beads,Edition,79,Duna,c1d3uupv
80,Solco #080,"Solco, Edition half of pair 080 of 250. Marche — hills running straight into the Adriatic. Mixed scale, mixed-style, rendered deterministically from seed 1v19ad3z. Its Twin is Boa: free to claim for whoever holds this piece.",filament_1777667078601_0035_1v19ad3z_Marche_mixed.webp,https://unrealfilament.art/edition/#080,Marche,Mixed,Mixed-style,Edition,80,Boa,1v19ad3z
81,Vigneto #081,"Vigneto, Edition half of pair 081 of 250. Marche — hills running straight into the Adriatic. Mixed scale, mixed-style, rendered deterministically from seed f0jvqguk. Its Twin is Faro: free to claim for whoever holds this piece.",filament_1777667136375_0026_f0jvqguk_Marche_mixed.webp,https://unrealfilament.art/edition/#081,Marche,Mixed,Mixed-style,Edition,81,Faro,f0jvqguk
82,Uliveto #082,"Uliveto, Edition half of pair 082 of 250. Marche — hills running straight into the Adriatic. Mixed scale, mixed-style, rendered deterministically from seed ancolutg. Its Twin is Vela: free to claim for whoever holds this piece.",filament_1777667140039_0030_ancolutg_Marche_mixed.webp,https://unrealfilament.art/edition/#082,Marche,Mixed,Mixed-style,Edition,82,Vela,ancolutg
83,Stoppia #083,"Stoppia, Edition half of pair 083 of 250. Marche — hills running straight into the Adriatic. Medium scale, mixed-style, rendered deterministically from seed 68l05il2. Its Twin is Conchiglia: free to claim for whoever holds this piece.",filament_1777667189522_0084_68l05il2_Marche_medium.webp,https://unrealfilament.art/edition/#083,Marche,Medium,Mixed-style,Edition,83,Conchiglia,68l05il2
84,Casolare #084,"Casolare, Edition half of pair 084 of 250. Marche — hills running straight into the Adriatic. Medium scale, mixed-style, rendered deterministically from seed c4hrxi8p. Its Twin is Scoglio: free to claim for whoever holds this piece.",filament_1777667211380_0110_c4hrxi8p_Marche_medium.webp,https://unrealfilament.art/edition/#084,Marche,Medium,Mixed-style,Edition,84,Scoglio,c4hrxi8p
85,Porto #085,"Porto, Edition half of pair 085 of 250. Pesaro — the harbour and the open water past it. Small scale, mixed-style, rendered deterministically from seed v6z0qjq6. Its Twin is Largo: free to claim for whoever holds this piece.",filament_1777568371123_0002_v6z0qjq6_Pesaro_small.webp,https://unrealfilament.art/edition/#085,Pesaro,Small,Mixed-style,Edition,85,Largo,v6z0qjq6
86,Darsena #086,"Darsena, Edition half of pair 086 of 250. Pesaro — the harbour and the open water past it. Jumbo scale, beads, rendered deterministically from seed bcx67x7x. Its Twin is Altura: free to claim for whoever holds this piece.",filament_1777569579079_0068_bcx67x7x_Pesaro_jumbo.webp,https://unrealfilament.art/edition/#086,Pesaro,Jumbo,Beads,Edition,86,Altura,bcx67x7x
87,Banchina #087,"Banchina, Edition half of pair 087 of 250. Pesaro — the harbour and the open water past it. Jumbo scale, beads, rendered deterministically from seed pep8fv7p. Its Twin is Orizzonte: free to claim for whoever holds this piece.",filament_1777569591931_0089_pep8fv7p_Pesaro_jumbo.webp,https://unrealfilament.art/edition/#087,Pesaro,Jumbo,Beads,Edition,87,Orizzonte,pep8fv7p
88,Gomena #088,"Gomena, Edition half of pair 088 of 250. Pesaro — the harbour and the open water past it. Jumbo scale, beads, rendered deterministically from seed qvfykvxc. Its Twin is Rotta: free to claim for whoever holds this piece.",filament_1777569595008_0094_qvfykvxc_Pesaro_jumbo.webp,https://unrealfilament.art/edition/#088,Pesaro,Jumbo,Beads,Edition,88,Rotta,qvfykvxc
89,Ancora #089,"Ancora, Edition half of pair 089 of 250. Pesaro — the harbour and the open water past it. Jumbo scale, beads, rendered deterministically from seed gtlknsu0. Its Twin is Andante: free to claim for whoever holds this piece.",filament_1777569659337_0195_gtlknsu0_Pesaro_jumbo.webp,https://unrealfilament.art/edition/#089,Pesaro,Jumbo,Beads,Edition,89,Andante,gtlknsu0
90,Bitta #090,"Bitta, Edition half of pair 090 of 250. Pesaro — the harbour and the open water past it. Small scale, mixed-style, rendered deterministically from seed nsevur0w. Its Twin is Traversata: free to claim for whoever holds this piece.",filament_1777570057379_0020_nsevur0w_Pesaro_small.webp,https://unrealfilament.art/edition/#090,Pesaro,Small,Mixed-style,Edition,90,Traversata,nsevur0w
91,Fanale #091,"Fanale, Edition half of pair 091 of 250. Pesaro — the harbour and the open water past it. Micro scale, mixed-style, rendered deterministically from seed o3p7797k. Its Twin is Miraggio: free to claim for whoever holds this piece.",filament_1777570094625_0054_o3p7797k_Pesaro_micro.webp,https://unrealfilament.art/edition/#091,Pesaro,Micro,Mixed-style,Edition,91,Miraggio,o3p7797k
92,Pontile #092,"Pontile, Edition half of pair 092 of 250. Pesaro — the harbour and the open water past it. Small scale, mixed-style, rendered deterministically from seed yvwa5q53. Its Twin is Maestrale: free to claim for whoever holds this piece.",filament_1777570121372_0075_yvwa5q53_Pesaro_small.webp,https://unrealfilament.art/edition/#092,Pesaro,Small,Mixed-style,Edition,92,Maestrale,yvwa5q53
93,Sartiame #093,"Sartiame, Edition half of pair 093 of 250. Pesaro — the harbour and the open water past it. Mixed scale, mixed-style, rendered deterministically from seed 64er211n. Its Twin is Libeccio: free to claim for whoever holds this piece.",filament_1777570152747_0095_64er211n_Pesaro_mixed.webp,https://unrealfilament.art/edition/#093,Pesaro,Mixed,Mixed-style,Edition,93,Libeccio,64er211n
94,Chiglia #094,"Chiglia, Edition half of pair 094 of 250. Pesaro — the harbour and the open water past it. Small scale, beads, rendered deterministically from seed 3pio8nvg. Its Twin is Scirocco: free to claim for whoever holds this piece.",filament_1777570301015_0071_3pio8nvg_Pesaro_small.webp,https://unrealfilament.art/edition/#094,Pesaro,Small,Beads,Edition,94,Scirocco,3pio8nvg
95,Timone #095,"Timone, Edition half of pair 095 of 250. Pesaro — the harbour and the open water past it. Large scale, mixed-style, rendered deterministically from seed dbb14hgu. Its Twin is Grecale: free to claim for whoever holds this piece.",filament_1777666807149_0014_dbb14hgu_Pesaro_large.webp,https://unrealfilament.art/edition/#095,Pesaro,Large,Mixed-style,Edition,95,Grecale,dbb14hgu
96,Prua #096,"Prua, Edition half of pair 096 of 250. Pesaro — the harbour and the open water past it. Jumbo scale, beads, rendered deterministically from seed rlhz5orn. Its Twin is Poppa: free to claim for whoever holds this piece.",filament_1777666817673_0026_rlhz5orn_Pesaro_jumbo.webp,https://unrealfilament.art/edition/#096,Pesaro,Jumbo,Beads,Edition,96,Poppa,rlhz5orn
97,Alberatura #097,"Alberatura, Edition half of pair 097 of 250. Pesaro — the harbour and the open water past it. Mixed scale, mixed-style, rendered deterministically from seed hsoui2ms. Its Twin is Tramontana: free to claim for whoever holds this piece.",filament_1777667084308_0041_hsoui2ms_Pesaro_mixed.webp,https://unrealfilament.art/edition/#097,Pesaro,Mixed,Mixed-style,Edition,97,Tramontana,hsoui2ms
98,Stiva #098,"Stiva, Edition half of pair 098 of 250. Pesaro — the harbour and the open water past it. Mixed scale, mixed-style, rendered deterministically from seed skdvqete. Its Twin is Coperta: free to claim for whoever holds this piece.",filament_1777667091585_0047_skdvqete_Pesaro_mixed.webp,https://unrealfilament.art/edition/#098,Pesaro,Mixed,Mixed-style,Edition,98,Coperta,skdvqete
99,Ormeggio #099,"Ormeggio, Edition half of pair 099 of 250. Pesaro — the harbour and the open water past it. Medium scale, mixed-style, rendered deterministically from seed wlwk3qgz. Its Twin is Rada: free to claim for whoever holds this piece.",filament_1777667093497_0049_wlwk3qgz_Pesaro_medium.webp,https://unrealfilament.art/edition/#099,Pesaro,Medium,Mixed-style,Edition,99,Rada,wlwk3qgz
100,Scalo #100,"Scalo, Edition half of pair 100 of 250. Pesaro — the harbour and the open water past it. Medium scale, mixed-style, rendered deterministically from seed w5am3pr8. Its Twin is Sestante: free to claim for whoever holds this piece.",filament_1777667150718_0043_w5am3pr8_Pesaro_medium.webp,https://unrealfilament.art/edition/#100,Pesaro,Medium,Mixed-style,Edition,100,Sestante,w5am3pr8
101,Cala #101,"Cala, Edition half of pair 101 of 250. Pesaro — the harbour and the open water past it. Mixed scale, mixed-style, rendered deterministically from seed lnhtmbl2. Its Twin is Bussola: free to claim for whoever holds this piece.",filament_1777667215545_0116_lnhtmbl2_Pesaro_mixed.webp,https://unrealfilament.art/edition/#101,Pesaro,Mixed,Mixed-style,Edition,101,Bussola,lnhtmbl2
102,Lanterna #102,"Lanterna, Edition half of pair 102 of 250. Pesaro — the harbour and the open water past it. Mixed scale, mixed-style, rendered deterministically from seed 71y9n6t8. Its Twin is Astrolabio: free to claim for whoever holds this piece.",filament_1777667227569_0129_71y9n6t8_Pesaro_mixed.webp,https://unrealfilament.art/edition/#102,Pesaro,Mixed,Mixed-style,Edition,102,Astrolabio,71y9n6t8
103,Pagina #103,"Pagina, Edition half of pair 103 of 250. Foglio — the sheet of paper and the leaf it was named for. Large scale, beads, rendered deterministically from seed 4vdp99tz. Its Twin is Fronda: free to claim for whoever holds this piece.",filament_1777569192497_0009_4vdp99tz_Foglio_large.webp,https://unrealfilament.art/edition/#103,Foglio,Large,Beads,Edition,103,Fronda,4vdp99tz
104,Quaderno #104,"Quaderno, Edition half of pair 104 of 250. Foglio — the sheet of paper and the leaf it was named for. Mixed scale, beads, rendered deterministically from seed s89hkfbp. Its Twin is Germoglio: free to claim for whoever holds this piece.",filament_1777569263788_0008_s89hkfbp_Foglio_mixed.webp,https://unrealfilament.art/edition/#104,Foglio,Mixed,Beads,Edition,104,Germoglio,s89hkfbp
105,Inchiostro #105,"Inchiostro, Edition half of pair 105 of 250. Foglio — the sheet of paper and the leaf it was named for. Jumbo scale, beads, rendered deterministically from seed z2s3897v. Its Twin is Linfa: free to claim for whoever holds this piece.",filament_1777569621064_0134_z2s3897v_Foglio_jumbo.webp,https://unrealfilament.art/edition/#105,Foglio,Jumbo,Beads,Edition,105,Linfa,z2s3897v
106,Pergamena #106,"Pergamena, Edition half of pair 106 of 250. Foglio — the sheet of paper and the leaf it was named for. Jumbo scale, beads, rendered deterministically from seed 8hbrv84a. Its Twin is Corteccia: free to claim for whoever holds this piece.",filament_1777569631266_0149_8hbrv84a_Foglio_jumbo.webp,https://unrealfilament.art/edition/#106,Foglio,Jumbo,Beads,Edition,106,Corteccia,8hbrv84a
107,Carta #107,"Carta, Edition half of pair 107 of 250. Foglio — the sheet of paper and the leaf it was named for. Jumbo scale, beads, rendered deterministically from seed ubyuf2um. Its Twin is Ramoscello: free to claim for whoever holds this piece.",filament_1777569653816_0185_ubyuf2um_Foglio_jumbo.webp,https://unrealfilament.art/edition/#107,Foglio,Jumbo,Beads,Edition,107,Ramoscello,ubyuf2um
108,Filigrana #108,"Filigrana, Edition half of pair 108 of 250. Foglio — the sheet of paper and the leaf it was named for. Jumbo scale, beads, rendered deterministically from seed 665udtvz. Its Twin is Nervatura: free to claim for whoever holds this piece.",filament_1777569657777_0192_665udtvz_Foglio_jumbo.webp,https://unrealfilament.art/edition/#108,Foglio,Jumbo,Beads,Edition,108,Nervatura,665udtvz
109,Piega #109,"Piega, Edition half of pair 109 of 250. Foglio — the sheet of paper and the leaf it was named for. Jumbo scale, beads, rendered deterministically from seed 7bbdf87z. Its Twin is Picciolo: free to claim for whoever holds this piece.",filament_1777569920402_0010_7bbdf87z_Foglio_jumbo.webp,https://unrealfilament.art/edition/#109,Foglio,Jumbo,Beads,Edition,109,Picciolo,7bbdf87z
110,Margine #110,"Margine, Edition half of pair 110 of 250. Foglio — the sheet of paper and the leaf it was named for. Micro scale, beads, rendered deterministically from seed 82uhzigo. Its Twin is Radice: free to claim for whoever holds this piece.",filament_1777570051397_0015_82uhzigo_Foglio_micro.webp,https://unrealfilament.art/edition/#110,Foglio,Micro,Beads,Edition,110,Radice,82uhzigo
111,Postilla #111,"Postilla, Edition half of pair 111 of 250. Foglio — the sheet of paper and the leaf it was named for. Mixed scale, thin, rendered deterministically from seed qd2o5p3l. Its Twin is Gemma: free to claim for whoever holds this piece.",filament_1777570055815_0019_qd2o5p3l_Foglio_mixed.webp,https://unrealfilament.art/edition/#111,Foglio,Mixed,Thin,Edition,111,Gemma,qd2o5p3l
112,Rigo #112,"Rigo, Edition half of pair 112 of 250. Foglio — the sheet of paper and the leaf it was named for. Medium scale, mixed-style, rendered deterministically from seed olfp7twr. Its Twin is Stelo: free to claim for whoever holds this piece.",filament_1777570088131_0052_olfp7twr_Foglio_medium.webp,https://unrealfilament.art/edition/#112,Foglio,Medium,Mixed-style,Edition,112,Stelo,olfp7twr
113,Frontespizio #113,"Frontespizio, Edition half of pair 113 of 250. Foglio — the sheet of paper and the leaf it was named for. Mixed scale, beads, rendered deterministically from seed s3i0fqia. Its Twin is Chioma: free to claim for whoever holds this piece.",filament_1777570220130_0033_s3i0fqia_Foglio_mixed.webp,https://unrealfilament.art/edition/#113,Foglio,Mixed,Beads,Edition,113,Chioma,s3i0fqia
114,Legatura #114,"Legatura, Edition half of pair 114 of 250. Foglio — the sheet of paper and the leaf it was named for. Small scale, beads, rendered deterministically from seed p7up9zer. Its Twin is Viticcio: free to claim for whoever holds this piece.",filament_1777570263729_0049_p7up9zer_Foglio_small.webp,https://unrealfilament.art/edition/#114,Foglio,Small,Beads,Edition,114,Viticcio,p7up9zer
115,Segnalibro #115,"Segnalibro, Edition half of pair 115 of 250. Foglio — the sheet of paper and the leaf it was named for. Micro scale, mixed-style, rendered deterministically from seed i9bnjqtx. Its Twin is Petalo: free to claim for whoever holds this piece.",filament_1777570348766_0096_i9bnjqtx_Foglio_micro.webp,https://unrealfilament.art/edition/#115,Foglio,Micro,Mixed-style,Edition,115,Petalo,i9bnjqtx
116,Cartiglio #116,"Cartiglio, Edition half of pair 116 of 250. Foglio — the sheet of paper and the leaf it was named for. Medium scale, mixed-style, rendered deterministically from seed uk1ez4hm. Its Twin is Baccello: free to claim for whoever holds this piece.",filament_1777666621031_0016_uk1ez4hm_Foglio_medium.webp,https://unrealfilament.art/edition/#116,Foglio,Medium,Mixed-style,Edition,116,Baccello,uk1ez4hm
117,Manoscritto #117,"Manoscritto, Edition half of pair 117 of 250. Foglio — the sheet of paper and the leaf it was named for. Large scale, thin, rendered deterministically from seed 78gx48v0. Its Twin is Seme: free to claim for whoever holds this piece.",filament_1777666796303_0003_78gx48v0_Foglio_large.webp,https://unrealfilament.art/edition/#117,Foglio,Large,Thin,Edition,117,Seme,78gx48v0
118,Codice #118,"Codice, Edition half of pair 118 of 250. Foglio — the sheet of paper and the leaf it was named for. Mixed scale, mixed-style, rendered deterministically from seed ahjmgz9h. Its Twin is Innesto: free to claim for whoever holds this piece.",filament_1777667036965_0008_ahjmgz9h_Foglio_mixed.webp,https://unrealfilament.art/edition/#118,Foglio,Mixed,Mixed-style,Edition,118,Innesto,ahjmgz9h
119,Vergatura #119,"Vergatura, Edition half of pair 119 of 250. Foglio — the sheet of paper and the leaf it was named for. Large scale, mixed-style, rendered deterministically from seed oce091un. Its Twin is Venatura: free to claim for whoever holds this piece.",filament_1777667077134_0033_oce091un_Foglio_large.webp,https://unrealfilament.art/edition/#119,Foglio,Large,Mixed-style,Edition,119,Venatura,oce091un
120,Bozza #120,"Bozza, Edition half of pair 120 of 250. Foglio — the sheet of paper and the leaf it was named for. Jumbo scale, mixed-style, rendered deterministically from seed uryqm3dl. Its Twin is Pollone: free to claim for whoever holds this piece.",filament_1777667195736_0091_uryqm3dl_Foglio_jumbo.webp,https://unrealfilament.art/edition/#120,Foglio,Jumbo,Mixed-style,Edition,120,Pollone,uryqm3dl
121,Cancellatura #121,"Cancellatura, Edition half of pair 121 of 250. Foglio — the sheet of paper and the leaf it was named for. Mixed scale, mixed-style, rendered deterministically from seed ysn6e8cr. Its Twin is Verzura: free to claim for whoever holds this piece.",filament_1777667198626_0094_ysn6e8cr_Foglio_mixed.webp,https://unrealfilament.art/edition/#121,Foglio,Mixed,Mixed-style,Edition,121,Verzura,ysn6e8cr
122,Timbro #122,"Timbro, Edition half of pair 122 of 250. Foglio — the sheet of paper and the leaf it was named for. Jumbo scale, mixed-style, rendered deterministically from seed vy8w8lsz. Its Twin is Talea: free to claim for whoever holds this piece.",filament_vy8w8lsz_Foglio_jumbo.webp,https://unrealfilament.art/edition/#122,Foglio,Jumbo,Mixed-style,Edition,122,Talea,vy8w8lsz
123,Cartone #123,"Cartone, Edition half of pair 123 of 250. Raffaello — the drawing underneath and the colour laid over it. Large scale, beads, rendered deterministically from seed 6ey394is. Its Twin is Velatura: free to claim for whoever holds this piece.",filament_1777569190303_0008_6ey394is_Raffaello_large.webp,https://unrealfilament.art/edition/#123,Raffaello,Large,Beads,Edition,123,Velatura,6ey394is
124,Sanguigna #124,"Sanguigna, Edition half of pair 124 of 250. Raffaello — the drawing underneath and the colour laid over it. Mixed scale, beads, rendered deterministically from seed y32llf0f. Its Twin is Rosato: free to claim for whoever holds this piece.",filament_1777569269423_0014_y32llf0f_Raffaello_mixed.webp,https://unrealfilament.art/edition/#124,Raffaello,Mixed,Beads,Edition,124,Rosato,y32llf0f
125,Spolvero #125,"Spolvero, Edition half of pair 125 of 250. Raffaello — the drawing underneath and the colour laid over it. Large scale, beads, rendered deterministically from seed id3v5j71. Its Twin is Sfumato: free to claim for whoever holds this piece.",filament_1777569272139_0016_id3v5j71_Raffaello_large.webp,https://unrealfilament.art/edition/#125,Raffaello,Large,Beads,Edition,125,Sfumato,id3v5j71
126,Contorno #126,"Contorno, Edition half of pair 126 of 250. Raffaello — the drawing underneath and the colour laid over it. Mixed scale, beads, rendered deterministically from seed m6d9qvdt. Its Twin is Impasto: free to claim for whoever holds this piece.",filament_1777569274966_0018_m6d9qvdt_Raffaello_mixed.webp,https://unrealfilament.art/edition/#126,Raffaello,Mixed,Beads,Edition,126,Impasto,m6d9qvdt
127,Schizzo #127,"Schizzo, Edition half of pair 127 of 250. Raffaello — the drawing underneath and the colour laid over it. Jumbo scale, beads, rendered deterministically from seed kld9rq81. Its Twin is Lacca: free to claim for whoever holds this piece.",filament_1777569632543_0151_kld9rq81_Raffaello_jumbo.webp,https://unrealfilament.art/edition/#127,Raffaello,Jumbo,Beads,Edition,127,Lacca,kld9rq81
128,Tratto #128,"Tratto, Edition half of pair 128 of 250. Raffaello — the drawing underneath and the colour laid over it. Jumbo scale, beads, rendered deterministically from seed bf02y45p. Its Twin is Tinta: free to claim for whoever holds this piece.",filament_1777569655139_0187_bf02y45p_Raffaello_jumbo.webp,https://unrealfilament.art/edition/#128,Raffaello,Jumbo,Beads,Edition,128,Tinta,bf02y45p
129,Stilo #129,"Stilo, Edition half of pair 129 of 250. Raffaello — the drawing underneath and the colour laid over it. Jumbo scale, thin, rendered deterministically from seed eg1ezvyc. Its Twin is Guazzo: free to claim for whoever holds this piece.",filament_1777570046079_0011_eg1ezvyc_Raffaello_jumbo.webp,https://unrealfilament.art/edition/#129,Raffaello,Jumbo,Thin,Edition,129,Guazzo,eg1ezvyc
130,Modello #130,"Modello, Edition half of pair 130 of 250. Raffaello — the drawing underneath and the colour laid over it. Mixed scale, beads, rendered deterministically from seed 4hlsd48w. Its Twin is Vermiglio: free to claim for whoever holds this piece.",filament_1777666797775_0004_4hlsd48w_Raffaello_mixed.webp,https://unrealfilament.art/edition/#130,Raffaello,Mixed,Beads,Edition,130,Vermiglio,4hlsd48w
131,Studio #131,"Studio, Edition half of pair 131 of 250. Raffaello — the drawing underneath and the colour laid over it. Jumbo scale, thin, rendered deterministically from seed 0qqmif4w. Its Twin is Oltremare: free to claim for whoever holds this piece.",filament_1777666809475_0017_0qqmif4w_Raffaello_jumbo.webp,https://unrealfilament.art/edition/#131,Raffaello,Jumbo,Thin,Edition,131,Oltremare,0qqmif4w
132,Panneggio #132,"Panneggio, Edition half of pair 132 of 250. Raffaello — the drawing underneath and the colour laid over it. Medium scale, beads, rendered deterministically from seed grw4f784. Its Twin is Minio: free to claim for whoever holds this piece.",filament_1777666826559_0036_grw4f784_Raffaello_medium.webp,https://unrealfilament.art/edition/#132,Raffaello,Medium,Beads,Edition,132,Minio,grw4f784
133,Disegno #133,"Disegno, Edition half of pair 133 of 250. Raffaello — the drawing underneath and the colour laid over it. Medium scale, mixed-style, rendered deterministically from seed zr42oix2. Its Twin is Cangiante: free to claim for whoever holds this piece.",filament_1777667026856_0014_zr42oix2_Raffaello_medium.webp,https://unrealfilament.art/edition/#133,Raffaello,Medium,Mixed-style,Edition,133,Cangiante,zr42oix2
134,Bozzetto #134,"Bozzetto, Edition half of pair 134 of 250. Raffaello — the drawing underneath and the colour laid over it. Medium scale, mixed-style, rendered deterministically from seed jyr8f9ax. Its Twin is Amaranto: free to claim for whoever holds this piece.",filament_1777667135273_0025_jyr8f9ax_Raffaello_medium.webp,https://unrealfilament.art/edition/#134,Raffaello,Medium,Mixed-style,Edition,134,Amaranto,jyr8f9ax
135,Profilo #135,"Profilo, Edition half of pair 135 of 250. Raffaello — the drawing underneath and the colour laid over it. Large scale, mixed-style, rendered deterministically from seed 6cfyeaci. Its Twin is Garanza: free to claim for whoever holds this piece.",filament_1777667202345_0099_6cfyeaci_Raffaello_large.webp,https://unrealfilament.art/edition/#135,Raffaello,Large,Mixed-style,Edition,135,Garanza,6cfyeaci
136,Contrapposto #136,"Contrapposto, Edition half of pair 136 of 250. Raffaello — the drawing underneath and the colour laid over it. Medium scale, mixed-style, rendered deterministically from seed 15m4dcco. Its Twin is Biacca: free to claim for whoever holds this piece.",filament_1777667234707_0137_15m4dcco_Raffaello_medium.webp,https://unrealfilament.art/edition/#136,Raffaello,Medium,Mixed-style,Edition,136,Biacca,15m4dcco
137,Luccichio #137,"Luccichio, Edition half of pair 137 of 250. Lucente — the gleam, and what dulls it. Jumbo scale, beads, rendered deterministically from seed u98cnqhg. Its Twin is Patina: free to claim for whoever holds this piece.",filament_1777569316980_0004_u98cnqhg_Lucente_jumbo.webp,https://unrealfilament.art/edition/#137,Lucente,Jumbo,Beads,Edition,137,Patina,u98cnqhg
138,Scintilla #138,"Scintilla, Edition half of pair 138 of 250. Lucente — the gleam, and what dulls it. Jumbo scale, beads, rendered deterministically from seed 77t1c7gt. Its Twin is Fuliggine: free to claim for whoever holds this piece.",filament_1777569567827_0050_77t1c7gt_Lucente_jumbo.webp,https://unrealfilament.art/edition/#138,Lucente,Jumbo,Beads,Edition,138,Fuliggine,77t1c7gt
139,Lucciola #139,"Lucciola, Edition half of pair 139 of 250. Lucente — the gleam, and what dulls it. Jumbo scale, beads, rendered deterministically from seed 0weo6zo6. Its Twin is Cenere: free to claim for whoever holds this piece.",filament_1777569583442_0075_0weo6zo6_Lucente_jumbo.webp,https://unrealfilament.art/edition/#139,Lucente,Jumbo,Beads,Edition,139,Cenere,0weo6zo6
140,Balenio #140,"Balenio, Edition half of pair 140 of 250. Lucente — the gleam, and what dulls it. Large scale, beads, rendered deterministically from seed yy758k4n. Its Twin is Ruggine: free to claim for whoever holds this piece.",filament_1777570193655_0008_yy758k4n_Lucente_large.webp,https://unrealfilament.art/edition/#140,Lucente,Large,Beads,Edition,140,Ruggine,yy758k4n
141,Lustro #141,"Lustro, Edition half of pair 141 of 250. Lucente — the gleam, and what dulls it. Micro scale, beads, rendered deterministically from seed md4f4lgu. Its Twin is Verderame: free to claim for whoever holds this piece.",filament_1777570255951_0045_md4f4lgu_Lucente_micro.webp,https://unrealfilament.art/edition/#141,Lucente,Micro,Beads,Edition,141,Verderame,md4f4lgu
142,Iride #142,"Iride, Edition half of pair 142 of 250. Lucente — the gleam, and what dulls it. Large scale, beads, rendered deterministically from seed jos606ie. Its Twin is Appannatura: free to claim for whoever holds this piece.",filament_1777666646101_0042_jos606ie_Lucente_large.webp,https://unrealfilament.art/edition/#142,Lucente,Large,Beads,Edition,142,Appannatura,jos606ie
143,Fulgore #143,"Fulgore, Edition half of pair 143 of 250. Lucente — the gleam, and what dulls it. Jumbo scale, beads, rendered deterministically from seed n1z46c4t. Its Twin is Ossido: free to claim for whoever holds this piece.",filament_1777666804369_0011_n1z46c4t_Lucente_jumbo.webp,https://unrealfilament.art/edition/#143,Lucente,Jumbo,Beads,Edition,143,Ossido,n1z46c4t
144,Raggiera #144,"Raggiera, Edition half of pair 144 of 250. Lucente — the gleam, and what dulls it. Mixed scale, beads, rendered deterministically from seed v6s6ocdz. Its Twin is Sordina: free to claim for whoever holds this piece.",filament_1777667020173_0007_v6s6ocdz_Lucente_mixed.webp,https://unrealfilament.art/edition/#144,Lucente,Mixed,Beads,Edition,144,Sordina,v6s6ocdz
145,Abbaglio #145,"Abbaglio, Edition half of pair 145 of 250. Lucente — the gleam, and what dulls it. Mixed scale, mixed-style, rendered deterministically from seed hoplmkpf. Its Twin is Grigiore: free to claim for whoever holds this piece.",filament_1777667031118_0002_hoplmkpf_Lucente_mixed.webp,https://unrealfilament.art/edition/#145,Lucente,Mixed,Mixed-style,Edition,145,Grigiore,hoplmkpf
146,Sfavillio #146,"Sfavillio, Edition half of pair 146 of 250. Lucente — the gleam, and what dulls it. Large scale, mixed-style, rendered deterministically from seed 4pr2lj4v. Its Twin is Torbido: free to claim for whoever holds this piece.",filament_1777667092414_0048_4pr2lj4v_Lucente_large.webp,https://unrealfilament.art/edition/#146,Lucente,Large,Mixed-style,Edition,146,Torbido,4pr2lj4v
147,Lampo #147,"Lampo, Edition half of pair 147 of 250. Lucente — the gleam, and what dulls it. Mixed scale, mixed-style, rendered deterministically from seed 44nodby8. Its Twin is Bruno: free to claim for whoever holds this piece.",filament_1777667123899_0011_44nodby8_Lucente_mixed.webp,https://unrealfilament.art/edition/#147,Lucente,Mixed,Mixed-style,Edition,147,Bruno,44nodby8
